date,actual_volatility,forecasted_volatility,model
2024-10-09,0.4302037361902932,0.35986605,lstm
2024-10-10,0.43788693183159666,0.36317295,lstm
2024-10-11,0.4316133565750704,0.37301895,lstm
2024-10-14,0.4317422903064537,0.38514122,lstm
2024-10-15,0.43258723032823665,0.3977894,lstm
2024-10-16,0.43100426082808596,0.4048186,lstm
2024-10-17,0.4268992616752489,0.4075176,lstm
2024-10-18,0.42128782445963625,0.41120788,lstm
2024-10-21,0.4180198242251392,0.41387528,lstm
2024-10-22,0.4163043077458669,0.41396844,lstm
2024-10-23,0.41771044777208627,0.41336828,lstm
2024-10-24,0.41285774689221605,0.41226265,lstm
2024-10-25,0.39377289119545,0.4119649,lstm
2024-10-28,0.3725339653305765,0.4097772,lstm
2024-10-29,0.3651920419330358,0.40828392,lstm
2024-10-30,0.359039109929252,0.39899948,lstm
2024-10-31,0.3537335996833184,0.3874197,lstm
2024-11-01,0.35496069019673154,0.3739168,lstm
2024-11-04,0.35170117190571315,0.36184508,lstm
2024-11-05,0.34270473939162355,0.3500345,lstm
2024-11-06,0.319411375723366,0.34053606,lstm
2024-11-07,0.3083170731015047,0.3595499,lstm
2024-11-08,0.30460307108517876,0.35825258,lstm
2024-11-11,0.3021107217752302,0.34593672,lstm
2024-11-12,0.30420844649464596,0.34107387,lstm
2024-11-13,0.2991480995116735,0.33275166,lstm
2024-11-14,0.2895559762444424,0.3254995,lstm
2024-11-15,0.28133038688491596,0.32308874,lstm
2024-11-18,0.28028145041716523,0.32611224,lstm
2024-11-19,0.26638523805484915,0.32842523,lstm
2024-11-20,0.2750333403787383,0.32531482,lstm
2024-11-21,0.2689932492690356,0.34089154,lstm
2024-11-22,0.27169693017931423,0.336608,lstm
2024-11-25,0.2701558339315179,0.3301539,lstm
2024-11-26,0.27342146406093315,0.32618943,lstm
2024-11-27,0.2830687780890851,0.3226711,lstm
2024-11-28,0.2840113170101844,0.31576654,lstm
2024-11-29,0.2771783822162833,0.3126179,lstm
2024-12-02,0.28430812347350404,0.30489132,lstm
2024-12-03,0.2903898567618091,0.3000297,lstm
2024-12-04,0.3108072179076473,0.2984649,lstm
2024-12-05,0.31828856838326114,0.29693937,lstm
2024-12-06,0.3206647604188486,0.29808977,lstm
2024-12-09,0.3159100732847194,0.30011415,lstm
2024-12-10,0.32628721220645385,0.30365565,lstm
