Date,Open,High,Low,Close,Change_Pct,Volume
2011-06-22,24903.47,25083.79,24903.47,25062.69,-0.97,0
2011-06-23,25075.87,25200.23,25060.68,25185.27,0.49,0
2011-06-24,25200.94,25310.9,25198.4,25271.61,0.34,0
2011-06-27,25284.62,25286.81,25163.57,25170.63,-0.4,0
2011-06-30,24939.13,25037.14,24938.57,24980.2,-0.76,0
2011-07-01,24995.0,25009.55,24694.51,24696.83,-1.13,0
2011-07-04,24712.28,24722.0,24505.58,24536.96,-0.65,0
2011-07-05,24553.33,24576.58,24458.28,24465.52,-0.29,0
2011-07-06,24481.62,24499.45,24237.55,24256.97,-0.85,0
2011-07-07,24274.52,24383.74,24263.91,24350.18,0.38,0
2011-07-08,24366.43,24373.97,24308.59,24310.03,-0.16,0
2011-07-11,24326.47,24334.65,24181.57,24181.57,-0.53,0
2011-07-12,24203.43,24204.23,23959.7,23959.7,-0.92,0
2011-07-13,23981.84,24006.14,23863.07,23863.07,-0.4,0
2011-07-14,23863.71,23891.62,23689.76,23715.42,-0.62,0
2011-07-15,23714.93,23832.14,23677.59,23832.14,0.49,0
2011-07-18,23832.56,23855.53,23685.92,23711.9,-0.5,0
2011-07-19,23714.63,23714.63,23519.86,23552.84,-0.67,0
2011-07-20,23553.91,23731.98,23509.92,23707.47,0.66,0
2011-07-21,23709.04,23795.84,23687.06,23787.31,0.34,0
2011-07-22,23796.98,24018.1,23788.89,23925.72,0.58,0
2011-07-25,23921.68,24068.44,23917.84,24046.65,0.51,0
2011-07-26,24060.1,24085.22,24039.44,24057.9,0.05,0
2011-07-27,24059.92,24062.77,23962.47,24011.99,-0.19,0
2011-07-28,24014.0,24014.0,23879.09,23906.97,-0.44,0
2011-07-29,23908.93,23908.93,23826.99,23826.99,-0.33,0
2011-08-01,23850.4,24001.26,23829.54,23916.9,0.38,0
2011-08-02,23916.02,23919.38,23802.69,23863.27,-0.22,0
2011-08-03,23866.0,23893.94,23808.68,23808.68,-0.23,0
2011-08-04,23812.99,23853.9,23718.71,23745.22,-0.27,0
2011-08-05,23747.95,23751.87,23373.24,23397.44,-1.46,0
2011-08-08,23391.96,23400.12,22879.8,22963.11,-1.86,0
2011-08-09,22977.61,22979.75,22508.5,22519.32,-1.93,0
2011-08-10,22519.38,22535.61,22301.4,22335.75,-0.82,0
2011-08-11,22351.89,22579.26,22293.93,22390.45,0.24,0
2011-08-12,22388.7,22776.08,22388.7,22775.55,1.72,0
2011-08-15,22785.62,22966.0,22485.85,22559.06,-0.95,0
2011-08-16,22557.38,22792.65,22557.38,22792.06,1.03,0
2011-08-17,22792.65,22849.24,22785.89,22811.39,0.08,0
2011-08-18,22812.3,22831.28,22764.47,22828.33,0.07,0
2011-08-19,22828.34,22933.9,22720.29,22724.02,-0.46,0
2011-08-22,22724.02,22724.76,22547.62,22547.62,-0.78,0
2011-08-23,22556.21,22565.13,22240.85,22313.23,-1.04,0
2011-08-24,22253.13,22394.7,22253.13,22308.22,-0.02,0
2011-08-25,22316.71,22383.25,22061.21,22061.21,-1.11,0
2011-08-26,22069.89,22069.89,21976.87,21976.87,-0.38,0
2011-09-01,21528.28,21528.28,21229.17,21299.55,-3.08,0
2011-09-02,21310.02,21642.78,21302.22,21598.98,1.41,0
2011-09-05,21622.75,21637.72,21538.04,21538.04,-0.28,0
2011-09-06,21566.0,21585.13,21298.07,21298.07,-1.11,0
2011-09-07,21333.21,21447.35,21324.35,21396.43,0.46,0
2011-09-08,21442.56,21471.72,21352.02,21352.02,-0.21,0
2011-09-09,21352.02,21362.72,21088.58,21104.1,-1.16,0
2011-09-12,21101.39,21189.46,21007.19,21032.53,-0.34,0
2011-09-13,21033.34,21061.58,20975.3,21018.52,-0.07,0
2011-09-14,21018.58,21221.41,20727.56,21199.16,0.86,0
2011-09-15,21197.92,21200.39,21122.73,21158.25,-0.19,0
2011-09-16,21158.25,21180.59,20935.19,21106.67,-0.24,0
2011-09-19,21048.95,21080.32,20801.93,20811.08,-1.4,0
2011-09-20,20811.08,20897.43,20747.15,20875.32,0.31,0
2011-09-21,20875.32,20895.07,20854.21,20868.21,-0.03,0
2011-09-22,20868.25,20875.52,20703.37,20705.15,-0.78,0
2011-09-23,20705.15,20705.74,20198.62,20202.5,-2.43,0
2011-09-26,20203.95,20210.12,19978.58,20175.54,-0.13,0
2011-09-27,20175.54,20190.73,20015.63,20015.63,-0.79,0
2011-09-28,20015.63,20117.34,19953.51,20029.66,0.07,0
2011-09-30,20144.89,20386.5,20144.89,20373.0,1.71,0
2011-10-04,20372.7,20626.06,20194.82,20581.3,1.02,0
2011-10-05,20626.06,20826.71,20593.44,20695.77,0.56,0
2011-10-06,20696.55,20712.08,20441.01,20507.18,-0.91,0
2011-10-07,20507.18,20508.97,20152.16,20225.02,-1.38,0
2011-10-10,20225.81,20229.37,20010.29,20106.07,-0.59,0
2011-10-11,20106.08,20108.38,19981.46,20012.07,-0.47,0
2011-10-12,20003.92,20012.07,19850.76,19925.97,-0.43,0
2011-10-13,19924.67,19925.97,19788.04,19812.33,-0.57,0
2011-10-14,19812.37,19901.14,19716.6,19869.85,0.29,0
2011-10-17,19869.85,20071.36,19846.34,20071.36,1.01,0
2011-10-18,20071.9,20106.71,19981.39,20011.71,-0.3,0
2011-10-19,20011.76,20197.37,20009.04,20197.15,0.93,0
2011-10-20,20196.67,20202.48,20092.1,20135.05,-0.31,0
2011-10-24,20257.47,20292.79,20226.45,20255.21,0.6,0
2011-10-25,20255.22,20351.32,20249.51,20278.16,0.11,0
2011-10-27,20255.21,20607.37,20255.21,20607.37,1.62,0
2011-10-28,20608.86,20911.78,20531.72,20903.16,1.44,0
2011-10-31,20581.4,20934.96,20528.77,20934.96,0.15,0
2011-11-01,20631.71,20638.0,20490.17,20542.09,-1.88,0
2011-11-02,20501.23,20502.13,20208.91,20502.13,-0.19,0
2011-11-03,20201.83,20521.31,19969.3,20521.31,0.09,0
2011-11-04,20229.47,20532.41,20199.44,20532.41,0.05,0
2011-11-09,20240.49,20491.51,20155.67,20491.51,-0.2,0
2011-11-10,20198.8,20200.97,20092.36,20160.54,-1.62,0
2011-11-11,20158.99,20416.1,20072.72,20416.1,1.27,0
2011-11-14,20126.41,20426.19,20078.91,20426.19,0.05,0
2011-11-15,20134.35,20404.23,20067.76,20404.23,-0.11,0
2011-11-16,20115.06,20372.92,20034.57,20372.92,-0.15,0
2011-11-17,20084.42,20359.23,20032.59,20359.23,-0.07,0
2011-11-18,20070.84,20311.51,19981.62,20311.51,-0.23,0
2011-11-21,20024.49,20286.44,19950.29,20286.44,-0.12,0
2011-11-22,19999.99,20298.85,19942.05,20298.85,0.06,0
2011-11-23,20012.13,20070.63,19767.98,20070.63,-1.12,0
2011-11-24,19789.06,19961.18,19665.68,19961.18,-0.55,0
2011-11-25,19663.81,20122.14,19655.69,20122.14,0.81,0
2011-11-28,19837.38,20103.22,19807.25,20103.22,-0.09,0
2011-11-29,19822.47,20000.76,19699.86,20000.76,-0.51,0
2011-11-30,19725.9,20003.37,19723.52,20003.37,0.01,0
2011-12-01,19728.18,19967.84,19662.28,19967.84,-0.18,0
2011-12-02,19693.94,19963.37,19656.72,19963.37,-0.02,0
2011-12-05,19692.74,20015.66,19635.56,20015.66,0.26,0
2011-12-06,19740.5,19951.13,19670.45,19951.13,-0.32,0
2011-12-07,19677.43,19829.29,19550.36,19829.29,-0.61,0
2011-12-08,19561.02,19732.34,19437.06,19732.34,-0.49,0
2011-12-09,19464.15,19785.04,19414.89,19785.04,0.27,0
2011-12-12,19516.07,19791.0,19497.52,19791.0,0.03,0
2011-12-13,19521.31,19871.97,19508.67,19871.97,0.41,0
2011-12-14,19869.86,19898.26,19831.18,19849.31,-0.11,0
2011-12-15,19839.47,19855.19,19751.52,19828.4,-0.11,0
2011-12-16,19827.53,20026.03,19797.29,20025.94,1.0,0
2011-12-19,20025.94,20058.94,20010.67,20045.31,0.1,0
2011-12-21,20121.53,20422.84,20116.96,20420.23,1.87,0
2011-12-22,20416.76,20638.37,20416.76,20604.48,0.9,0
2011-12-28,20763.37,20820.41,20583.95,20617.23,0.06,0
2011-12-30,20766.96,20772.43,20588.83,20730.63,0.55,0
2012-01-04,20671.57,20692.83,20626.85,20635.07,-0.46,0
2012-01-05,20635.07,20657.0,20615.87,20657.0,0.11,0
2012-01-06,20640.88,20725.3,20606.58,20725.3,0.33,0
2012-01-09,20690.45,20802.33,20656.88,20802.33,0.37,0
2012-01-10,20742.8,20905.35,20723.91,20905.35,0.5,0
2012-01-12,20866.11,20883.89,20849.59,20883.89,-0.1,0
2012-01-13,20883.7,20883.7,20831.34,20840.97,-0.21,0
2012-01-16,20843.67,20844.03,20758.78,20824.82,-0.08,0
2012-01-17,20851.76,21072.27,20828.94,21072.27,1.19,0
2012-01-18,20999.51,21072.27,20974.03,20997.88,-0.35,0
2012-01-24,20766.36,20802.09,20598.67,20598.67,-1.9,0
2012-01-26,20695.16,20832.74,20681.45,20797.81,0.97,0
2012-01-27,20831.28,20964.59,20831.28,20892.66,0.46,0
2012-01-30,20939.1,20950.02,20731.72,20731.72,-0.77,0
2012-01-31,20818.56,21009.92,20789.48,20875.83,0.7,0
2012-02-01,20875.34,20941.03,20790.88,20790.88,-0.41,0
2012-02-02,20872.94,20900.58,20785.4,20822.0,0.15,0
2012-02-07,20857.9,20903.0,20733.35,20790.88,-0.15,0
2012-02-08,20781.62,20781.62,20660.71,20693.84,-0.47,0
2012-02-09,20718.29,20719.85,20631.38,20631.38,-0.3,0
2012-02-10,20629.6,20725.76,20622.01,20623.63,-0.04,0
2012-02-13,20615.26,20639.18,20582.32,20583.61,-0.19,0
2012-02-14,20588.3,20669.19,20580.13,20667.0,0.41,0
2012-02-15,20667.0,20703.47,20253.49,20329.62,-1.63,0
2012-02-16,20280.71,20325.62,20251.27,20314.08,-0.08,0
2012-02-17,20330.58,20469.7,20314.08,20411.17,0.48,0
2012-02-20,20410.47,20481.48,20398.06,20439.25,0.14,0
2012-02-21,20439.25,20526.5,20439.25,20492.31,0.26,0
2012-02-22,20490.43,20536.45,20279.62,20313.36,-0.87,0
2012-02-23,20293.82,20435.46,20250.8,20426.21,0.56,0
2012-02-24,20427.25,20558.67,20396.67,20495.92,0.34,0
2012-02-27,20495.92,20514.48,20362.16,20364.55,-0.64,0
2012-02-28,20364.56,20364.9,20079.37,20137.51,-1.11,0
2012-02-29,20083.77,20123.51,20007.19,20123.51,-0.07,0
2012-03-01,20123.67,20234.03,20123.51,20193.4,0.35,0
2012-03-02,20193.4,20592.01,20180.95,20592.01,1.97,0
2012-03-05,20592.14,20786.96,20403.34,20619.05,0.13,0
2012-03-06,20592.02,20926.31,20527.46,20926.31,1.49,0
2012-03-07,20592.02,21068.34,20459.44,21068.34,0.68,0
2012-03-08,21069.3,21194.41,21028.66,21181.41,0.54,0
2012-03-09,21181.42,21193.07,20927.45,20950.01,-1.09,0
2012-03-12,20950.02,21100.54,20950.02,21091.36,0.67,0
