"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","11.65","10.75","11.65","10.75","3.36M","8.37%"
"31/12/2024","10.75","9.88","10.75","10.75","1.11M","8.81%"
"30/12/2024","9.88","8.99","9.88","8.40","1.67M","9.90%"
"27/12/2024","8.99","8.23","8.99","8.90","805.84K","9.23%"
"24/12/2024","8.23","8.23","8.23","7.85","2.48M","0.00%"
"23/12/2024","8.23","7.49","8.23","7.96","1.06M","9.88%"
"20/12/2024","7.49","6.95","7.59","6.72","3.17M","7.77%"
"19/12/2024","6.95","6.50","7.13","6.36","2.47M","6.92%"
"18/12/2024","6.50","6.05","6.50","5.60","2.64M","7.44%"
"17/12/2024","6.05","6.09","6.05","5.60","2.62M","-0.66%"
"16/12/2024","6.09","6.10","6.09","5.49","1.83M","-0.16%"
"13/12/2024","6.10","6.15","6.15","5.64","3.49M","-0.81%"
"12/12/2024","6.15","5.69","6.15","5.13","2.34M","8.08%"
"11/12/2024","5.69","5.41","5.69","5.10","1.32M","5.18%"
"10/12/2024","5.41","5.05","5.44","5.08","6.76M","7.13%"
"09/12/2024","5.05","5.05","5.05","5.05","700.89K","0.00%"
"06/12/2024","5.05","4.63","5.09","5.00","4.40M","9.07%"
"05/12/2024","4.63","4.21","4.63","4.10","4.18M","9.98%"
"04/12/2024","4.21","4.67","4.31","4.21","2.55M","-9.85%"
"03/12/2024","4.67","4.25","4.67","4.65","9.40M","9.88%"
"02/12/2024","4.25","3.90","4.29","3.52","6.97M","8.97%"
"29/11/2024","3.90","4.10","3.90","3.90","945.60K","-4.88%"
"28/11/2024","4.10","4.19","4.58","4.10","1.87M","-2.15%"
"27/11/2024","4.19","3.81","4.19","3.80","5.56M","9.97%"
"26/11/2024","3.81","3.47","3.81","3.81","4.32M","9.80%"
"25/11/2024","3.47","3.16","3.47","3.47","895.58K","9.81%"
"22/11/2024","3.16","2.99","3.28","3.03","2.55M","5.69%"
"21/11/2024","2.99","2.72","2.99","2.99","566.03K","9.93%"
"20/11/2024","2.72","2.70","2.97","2.72","5.12M","0.74%"
"19/11/2024","2.70","2.60","2.86","2.70","2.79M","3.85%"
"18/11/2024","2.60","2.72","2.60","2.52","1.04M","-4.41%"
"15/11/2024","2.72","2.48","2.72","2.51","13.40M","9.68%"
"14/11/2024","2.48","2.26","2.48","2.27","1.29M","9.73%"
"13/11/2024","2.26","2.26","2.26","2.26","515.62K","0.00%"
"12/11/2024","2.26","2.06","2.26","2.26","331.09K","9.71%"
"11/11/2024","2.06","2.06","2.06","2.06","1.35M","0.00%"
"08/11/2024","2.06","2.28","2.06","2.06","455.84K","-9.65%"
"07/11/2024","2.28","2.09","2.29","2.28","2.70M","9.09%"
"06/11/2024","2.09","2.09","2.09","2.09","388.99K","0.00%"
"05/11/2024","2.09","2.09","2.09","2.09","220.01K","0.00%"
"04/11/2024","2.09","2.09","2.09","2.09","596.62K","0.00%"
